workerId,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,age,sex,ITI,ISI,response_time_ISI_EXP,response_time_SAM_valence,response_time_SAM_arousal,timing_S1,timing_S2
14491,UG,exp,neu,30,80,80,1,1,1,neu,0,19,Female,1108,1000,7947,NA,NA,250,1000
14491,UG,val_arr,neu,30,40,55,1,2,1,neu,0,19,Female,1154,1000,7947,4565,6268,250,1000
14491,UG,val_arr,neg,30,0,100,1,3,2,neg,0,19,Female,1122,1000,7947,3192,2275,250,1000
14491,UG,val_arr,neu,30,60,70,1,4,3,neu,0,19,Female,1009,1000,7947,4495,4340,250,1000
14491,UG,exp,neg,90,60,70,1,5,2,neg,0,19,Female,909,1000,4832,4495,4340,250,1000
14491,UG,exp,neu,70,60,70,1,6,3,neg,1,19,Female,921,1000,6064,4495,4340,250,1000
14491,UG,val_arr,neu,70,20,89,1,7,4,neg,1,19,Female,1054,1000,6064,3354,2984,250,1000
14491,UG,exp,neg,10,20,89,1,8,4,neg,0,19,Female,836,1000,9213,3354,2984,250,1000
14491,UG,exp,neu,80,20,89,1,9,5,neg,1,19,Female,820,1000,3205,3354,2984,250,1000
14491,UG,val_arr,neu,80,50,55,1,10,5,neu,0,19,Female,874,1000,3205,3785,3255,250,1000
14491,UG,val_arr,neu,80,70,60,1,11,6,neu,0,19,Female,909,1000,3205,2999,2855,250,1000
14491,UG,exp,neg,50,70,60,1,12,6,neg,0,19,Female,819,1000,3342,2999,2855,250,1000
14491,UG,val_arr,neg,50,40,56,1,13,7,neg,0,19,Female,1006,1000,3342,4078,3299,250,1000
14491,UG,exp,neg,15,40,56,1,14,7,neu,1,19,Female,1038,1000,2814,4078,3299,250,1000
14491,UG,val_arr,neg,15,10,100,1,15,8,neg,0,19,Female,867,1000,2814,3154,1823,250,1000
14491,UG,val_arr,neu,15,90,70,1,16,9,neu,0,19,Female,1145,1000,2814,3899,3311,250,1000
14491,UG,val_arr,neu,15,91,60,1,17,10,neu,0,19,Female,1040,1000,2814,2469,3010,250,1000
14491,UG,exp,neg,60,91,60,1,18,8,neg,0,19,Female,956,1000,3742,2469,3010,250,1000
14491,UG,exp,neg,17,91,60,1,19,9,neg,0,19,Female,903,1000,4745,2469,3010,250,1000
14491,UG,exp,neu,33,91,60,1,20,10,neu,0,19,Female,1049,1000,2899,2469,3010,250,1000
14491,UG,val_arr,neu,33,13,100,1,21,11,neu,0,19,Female,1059,1000,2899,2287,1297,250,1000
14491,UG,exp,neu,60,13,100,1,22,11,neu,0,19,Female,993,1000,4391,2287,1297,250,1000
14491,UG,val_arr,neu,60,95,100,1,23,12,neu,0,19,Female,1028,1000,4391,4390,1414,250,1000
14491,UG,exp,neg,54,95,100,1,24,12,neg,0,19,Female,1122,1000,2565,4390,1414,250,1000
14491,UG,val_arr,neu,54,74,40,1,25,13,neu,0,19,Female,1056,1000,2565,4421,2637,250,1000
14491,UG,val_arr,neg,54,6,76,1,26,14,neg,0,19,Female,973,1000,2565,2388,1823,250,1000
14491,UG,exp,neg,25,6,76,1,27,13,neu,1,19,Female,1053,1000,2294,2388,1823,250,1000
14491,UG,exp,neu,7,6,76,1,28,14,neu,0,19,Female,960,1000,3095,2388,1823,250,1000
14491,UG,exp,neu,35,6,76,1,29,15,neu,0,19,Female,1192,1000,3457,2388,1823,250,1000
14491,UG,exp,neu,62,6,76,1,30,16,neu,0,19,Female,943,1000,2063,2388,1823,250,1000
14491,UG,val_arr,neg,62,34,85,1,31,15,neu,1,19,Female,1167,1000,2063,3131,2592,250,1000
14491,UG,val_arr,neu,62,50,60,1,32,16,neg,1,19,Female,997,1000,2063,2785,2543,250,1000
14491,UG,val_arr,neg,62,46,65,1,33,17,neu,1,19,Female,854,1000,2063,4315,2000,250,1000
14491,UG,val_arr,neu,62,91,22,1,34,18,neg,1,19,Female,871,1000,2063,2573,2988,250,1000
14491,UG,val_arr,neg,62,0,95,1,35,19,neg,0,19,Female,802,1000,2063,2561,2869,250,1000
14491,UG,exp,neg,71,0,95,1,36,17,neu,1,19,Female,993,1000,2602,2561,2869,250,1000
14491,UG,exp,neu,37,0,95,1,37,18,neu,0,19,Female,952,1000,2626,2561,2869,250,1000
14491,UG,exp,neu,18,0,95,1,38,19,neu,0,19,Female,1054,1000,3891,2561,2869,250,1000
14491,UG,exp,neu,64,0,95,1,39,20,neu,0,19,Female,1167,1000,2388,2561,2869,250,1000
14491,UG,exp,neu,57,0,95,1,40,21,neu,0,19,Female,990,1000,2425,2561,2869,250,1000
14491,UG,exp,neu,70,0,95,2,41,22,neg,1,19,Female,972,1000,3405,2561,2869,250,1000
14491,UG,exp,neg,86,0,95,2,42,23,neg,0,19,Female,970,1000,2531,2561,2869,250,1000
14491,UG,val_arr,neu,86,88,43,2,43,20,neu,0,19,Female,1029,1000,2531,1979,1811,250,1000
14491,UG,val_arr,neu,86,54,72,2,44,21,neu,0,19,Female,993,1000,2531,2034,1057,250,1000
14491,UG,exp,neg,54,54,72,2,45,24,neg,0,19,Female,1089,1000,2817,2034,1057,250,1000
14491,UG,exp,neu,18,54,72,2,46,25,neu,0,19,Female,892,1000,1997,2034,1057,250,1000
14491,UG,exp,neu,54,54,72,2,47,26,neg,1,19,Female,942,1000,2002,2034,1057,250,1000
14491,UG,val_arr,neu,54,100,0,2,48,22,neu,0,19,Female,1079,1000,2002,2253,1386,250,1000
14491,UG,exp,neg,39,100,0,2,49,27,neg,0,19,Female,1085,1000,2658,2253,1386,250,1000
14491,UG,exp,neg,55,100,0,2,50,28,neg,0,19,Female,1038,1000,2677,2253,1386,250,1000
14491,UG,exp,neu,70,100,0,2,51,29,neu,0,19,Female,1108,1000,2520,2253,1386,250,1000
14491,UG,val_arr,neu,70,18,90,2,52,23,neg,1,19,Female,1102,1000,2520,2057,1972,250,1000
14491,UG,val_arr,neg,70,11,92,2,53,24,neu,1,19,Female,995,1000,2520,3045,1800,250,1000
14491,UG,val_arr,neu,70,58,46,2,54,25,neg,1,19,Female,860,1000,2520,3046,2731,250,1000
