session_id;participant_id;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60f69782a6e0f7770867f3ee;55f1b20332af74000b16ffeb;APPROVED;2021-07-20 09:29:49.097000;2021-07-20 10:11:41.942000;2.512.845;47;120;0;100;2021-07-20 13:03:23.121000;51867BAD;Greece;Greece;Full-Time;Greek;English, Greek;Greece;Male;DATA EXPIRED
60f695d48582a53cdba95c50;57a7a0e26475d400015abe19;APPROVED;2021-07-20 09:22:32.629000;2021-07-20 09:56:25.751000;2.033.122;28;317;4;99;2021-07-20 13:04:09.906000;51867BAD;Portugal;Portugal;Unemployed (and job seeking);Portuguese;Portuguese, English;Portugal;Female;No
60f69ca0295762e880fd9c9d;57b3a754cbe60100013773f2;APPROVED;2021-07-20 09:51:33.120000;2021-07-20 10:20:45.778000;1.752.658;28;407;7;98;2021-07-20 13:05:14.519000;51867BAD;Spain;Spain;DATA EXPIRED;Spanish;English, Spanish;Spain;Female;DATA EXPIRED
60f68e63e232b6188442719c;5908826f7a321c0001261e69;APPROVED;2021-07-20 08:50:43.736000;2021-07-20 09:17:31.499000;1.607.763;33;362;2;100;2021-07-20 13:06:30.277000;51867BAD;Hungary;Hungary;Not in paid work (e.g. homemaker', 'retired or disabled);Hungarian;English, Hungarian;Hungary;Female;No
60f69dd81b728e833ce65f76;595caef4e05ca8000133fe62;APPROVED;2021-07-20 09:56:44.428000;2021-07-20 10:24:09.005000;1.644.577;40;263;6;98;2021-07-20 13:07:21.438000;51867BAD;United Kingdom;United Kingdom;DATA EXPIRED;English;English;United Kingdom;Female;DATA EXPIRED
60f591051022de9dc7d8b0d2;5a85d403ae9a0b0001a9ec8c;APPROVED;2021-07-19 14:49:51.510000;2021-07-19 15:14:38.805000;1.487.295;24;332;3;100;2021-07-20 08:02:10.933000;51867BAD;Portugal;Portugal;Full-Time;Portuguese;French, English, Italian, Portuguese, Spanish;Portugal;Female;No
60f6b052668b23d0061c63aa;5b576109d1b3720001da81f1;APPROVED;2021-07-20 11:16:47.413000;2021-07-20 12:03:56.352000;2.828.939;40;336;0;100;2021-07-20 13:09:26.332000;51867BAD;Portugal;Portugal;Part-Time;Portuguese;English, Portuguese;Portugal;Male;No
60f6a6df3c4801574ea08bf8;5bafd12a70f8df0001be84a7;APPROVED;2021-07-20 10:35:11.519000;2021-07-20 11:20:22.830000;2.711.311;31;474;3;100;2021-07-20 13:10:37.570000;51867BAD;Poland;Poland;DATA EXPIRED;Polish;German, English, Spanish, Polish;Poland;Male;DATA EXPIRED
60f5a538136f49a21d003789;5bd8a67a0aac450001f98a45;APPROVED;2021-07-19 16:15:52.534000;2021-07-19 16:59:28.996000;2.616.462;21;82;1;100;2021-07-20 08:06:09.044000;51867BAD;Hungary;Hungary;DATA EXPIRED;Hungarian;German, English, Hungarian;Hungary;Male;DATA EXPIRED
60f58da92aef1d2692083250;5bfebb346fe16d0001678101;APPROVED;2021-07-19 14:35:33.613000;2021-07-19 15:05:47.877000;1.814.264;30;52;2;98;2021-07-20 08:10:46.703000;51867BAD;New Zealand;United Kingdom;DATA EXPIRED;English;English;New Zealand;Female;DATA EXPIRED
60f58c1bcca541e56f941ba3;5c2fa844551b540001706cee;APPROVED;2021-07-19 14:28:43.616000;2021-07-19 15:16:17.598000;2.853.982;42;107;1;100;2021-07-20 08:11:26.070000;51867BAD;Poland;Poland;Full-Time;Polish;Polish, English;Poland;Female;No
60f6a6ea596644a33d095fb2;5c3f53e45149ab0001dc54ce;APPROVED;2021-07-20 10:35:25.790000;2021-07-20 11:08:33.391000;1.987.601;25;232;0;100;2021-07-20 13:13:39.152000;51867BAD;Portugal;Portugal;Full-Time;Portuguese;Portuguese, English;Portugal;Female;No
60f6a6e82f8aaac86a28e472;5c58c2ce2a84410001d3f522;APPROVED;2021-07-20 10:35:20.027000;2021-07-20 11:31:08.678000;3.348.651;24;62;1;100;2021-07-20 13:14:33.443000;51867BAD;Greece;Greece;DATA EXPIRED;Greek;Greek, English;Greece;Female;DATA EXPIRED
60f69da649e8c3c25f16c89f;5c65838adbd7460001466166;APPROVED;2021-07-20 10:02:04.848000;2021-07-20 10:33:36.200000;1.891.352;36;144;0;100;2021-07-20 13:17:39.799000;51867BAD;Hungary;Hungary;DATA EXPIRED;Hungarian;English, Hungarian;DATA EXPIRED;Female;DATA EXPIRED
60f69c190598b0a8c233cf87;5c6bc7c41373290001be096a;APPROVED;2021-07-20 09:49:15.635000;2021-07-20 10:25:46.683000;2.191.048;25;31;0;100;2021-07-20 13:18:32.543000;51867BAD;Greece;Greece;DATA EXPIRED;Greek;English, Greek;Greece;Male;Yes
60f69c58415555442de0868e;5c71a74980a99f0001c63358;APPROVED;2021-07-20 09:50:19.043000;2021-07-20 10:21:42.386000;1.883.343;59;423;1;100;2021-07-20 13:19:16.847000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
60f59146cb5ba487e1f31bf8;5c9d4168368fa2001578c7a6;APPROVED;2021-07-19 14:50:46.906000;2021-07-19 15:26:29.181000;2.142.275;31;139;0;100;2021-07-20 08:12:50.494000;51867BAD;Latvia;Latvia;Full-Time;Latvian;English, Russian, Latvian;Latvia;Male;No
60f69cdee71395458c1f34ec;5ca0aae22fd4860001a4d560;APPROVED;2021-07-20 09:52:30.043000;2021-07-20 10:24:25.538000;1.915.495;22;78;0;100;2021-07-20 13:20:07.408000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;Polish, English;Poland;Male;No
60f58fbb5fb2a4f18a61b797;5cab5929291df900165c1ff9;APPROVED;2021-07-19 14:44:13.155000;2021-07-19 15:20:25.019000;2.171.864;20;138;1;100;2021-07-20 08:13:35.362000;51867BAD;Poland;Poland;DATA EXPIRED;Polish;Polish, English;Poland;Male;DATA EXPIRED
60f6a6f273ee78eab0c39def;5ccf022bafa2f60018c2e9bc;APPROVED;2021-07-20 10:35:30.837000;2021-07-20 11:14:39.054000;2.348.217;25;48;0;100;2021-07-20 13:20:55.998000;51867BAD;Italy;Italy;Other;Italian;Italian, English;Italy;Male;Yes
60f6f532bc1c3a96e64316ed;5cd1bdedf2156c00013b0152;APPROVED;2021-07-20 16:09:22.419000;2021-07-20 17:12:45.935000;3.803.516;26;231;3;99;2021-07-20 17:36:14.104000;51867BAD;Spain;Spain;Full-Time;Spanish;Spanish, English;Spain;Male;No
60f6a6fe6a29bfb1b5a778d8;5cd30b2041a6b8001874c41f;APPROVED;2021-07-20 10:35:42.920000;2021-07-20 11:05:44.081000;1.801.161;26;303;1;100;2021-07-20 13:21:39.934000;51867BAD;Greece;Greece;Full-Time;Greek;English, Greek;Greece;Female;No
60f5927a312c6ce3069ff6da;5ce9761ed439ae001a596488;APPROVED;2021-07-19 14:56:04.181000;2021-07-19 15:23:32.762000;1.648.581;29;237;2;100;2021-07-20 08:14:36.364000;51867BAD;Nepal;United Kingdom;DATA EXPIRED;English;English;United Kingdom;Male;DATA EXPIRED
