Data di inizio;Data di fine;Tipo risposta;Avanzamento;Durata (in secondi);Terminato;Data registrata;ID di risposta;Canale di distribuzione;Lingua dell'utente;"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Unforeseen events upset me greatly.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - It frustrates me not having all the information I need.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Uncertainty keeps me from living a full life.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - One should always look ahead so as to avoid surprises.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - A small unforeseen event can spoil everything, even with the best of planning.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When itü??s time to act, uncertainty paralyses me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Please, answer ""entirely characteristic of me"" to this item.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When I am uncertain I canü??t function very well.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I always want to know what the future has in store for me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I canü??t stand being taken by surprise.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - The smallest doubt can stop me from acting.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I should be able to organize everything in advance.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I must get away from all uncertain situations.";Please, type your age.;Please, select your gender.;Have you experienced any issues with the internet conncetion and/or the uploading of the pictures/sounds?;You have now successfully completed the survey, and you will be redirected to Prolific to complete your submission.If you have any comments please let us know by filling the box below.Thank you for your valuable contribution!;Total score;Prospective subscale;Inhibitory subscale;AttentionCheck;workerId;batchId;studyId;subject_nr;PROLIFIC_PID;SESSION_ID;STUDY_ID
20/07/2021 04:10;20/07/2021 04:11;Indirizzo IP;100;92;VERO;20/07/2021 04:11;R_0eaUuc6JKzECZ2h;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;47;Male;No, everything worked fine!;;43;25;18;1;14539;507;496;23856;55f1b20332af74000b16ffeb;60f69782a6e0f7770867f3ee;60f57e67967f64a9e6d4f193
20/07/2021 03:54;20/07/2021 03:56;Indirizzo IP;100;83;VERO;20/07/2021 03:56;R_2aOBryvyZApAgyI;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;28;Female;No, everything worked fine!;;60;35;25;1;14538;507;496;23855;57a7a0e26475d400015abe19;60f695d48582a53cdba95c50;60f57e67967f64a9e6d4f193
20/07/2021 04:18;20/07/2021 04:20;Indirizzo IP;100;137;VERO;20/07/2021 04:20;R_2wnkOaWgE7FMKax;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;28;Female;No, everything worked fine!;;38;23;15;1;14586;507;496;23903;57b3a754cbe60100013773f2;60f69ca0295762e880fd9c9d;60f57e67967f64a9e6d4f193
20/07/2021 03:16;20/07/2021 03:17;Indirizzo IP;100;59;VERO;20/07/2021 03:17;R_22rTJCqV0AN3FfL;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Very characteristic of me;34;Female;No, everything worked fine!;;42;28;14;1;14523;507;496;23840;5908826f7a321c0001261e69;60f68e63e232b6188442719c;60f57e67967f64a9e6d4f193
20/07/2021 04:22;20/07/2021 04:24;Indirizzo IP;100;100;VERO;20/07/2021 04:24;R_W9FXR0THRDCE8ud;anonymous;EN;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;40;Female;No, everything worked fine!;;28;17;11;1;14615;507;496;23932;595caef4e05ca8000133fe62;60f69dd81b728e833ce65f76;60f57e67967f64a9e6d4f193
19/07/2021 09:13;19/07/2021 09:14;Indirizzo IP;100;51;VERO;19/07/2021 09:14;R_1N4cplb8u4ZXmKX;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;24;Female;No, everything worked fine!;;27;17;10;1;14473;496;485;23772;5a85d403ae9a0b0001a9ec8c;60f591051022de9dc7d8b0d2;60e45f9daf7eec3fac4de4e2
20/07/2021 05:53;20/07/2021 06:03;Indirizzo IP;100;634;VERO;20/07/2021 06:03;R_2WulaAVvU8O7Phr;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;40;Male;No, everything worked fine!;Some sounds seamed to be faked and that made me feel like it was funny, even when the sounds were negative. I think that could influence a bit the way I felt about the sound. Those sounds were not very convincing. It was hard to engage with those samples.  ;43;23;20;1;14787;507;496;24094;5b576109d1b3720001da81f1;60f6b052668b23d0061c63aa;60f57e67967f64a9e6d4f193
19/07/2021 09:32;19/07/2021 09:33;Indirizzo IP;100;45;VERO;19/07/2021 09:33;R_3IDMMO446uieEdX;anonymous;EN;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;20;Male;No, everything worked fine!;;42;29;13;1;14457;496;485;23758;5baeaaefad2a8d0001401bf2;60f58936462df9428a5f5865;60e45f9daf7eec3fac4de4e2
20/07/2021 05:16;20/07/2021 05:20;Indirizzo IP;100;207;VERO;20/07/2021 05:20;R_3fZxqcw3ehqhO3I;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;31;Male;No, everything worked fine!;no;32;22;10;1;14671;507;496;23987;5bafd12a70f8df0001be84a7;60f6a6df3c4801574ea08bf8;60f57e67967f64a9e6d4f193
19/07/2021 10:55;19/07/2021 10:59;Indirizzo IP;100;229;VERO;19/07/2021 10:59;R_pSEjbHPwkjkokoN;anonymous;EN;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;21;Male;No, everything worked fine!;;33;27;6;1;14488;496;485;23806;5bd8a67a0aac450001f98a45;60f5a538136f49a21d003789;60e45f9daf7eec3fac4de4e2
19/07/2021 09:02;19/07/2021 09:05;Indirizzo IP;100;170;VERO;19/07/2021 09:05;R_3e8NWzevhsQhMsu;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;30;Female;No, everything worked fine!;;40;25;15;1;14462;496;485;23763;5bfebb346fe16d0001678101;60f58da92aef1d2692083250;60e45f9daf7eec3fac4de4e2
20/07/2021 04:15;20/07/2021 04:16;Indirizzo IP;100;57;VERO;20/07/2021 04:16;R_33sbPIJdkVlLfyf;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;22;Female;No, everything worked fine!;;46;28;18;1;14572;507;496;23889;5c1c2db20036740001e710f8;60f69ab8c56e8dab5e9be440;60f57e67967f64a9e6d4f193
19/07/2021 09:13;19/07/2021 09:16;Indirizzo IP;100;159;VERO;19/07/2021 09:16;R_21ytwL54yqom4CF;anonymous;EN;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;42;Female;No, everything worked fine!;;46;26;20;1;14460;496;485;23761;5c2fa844551b540001706cee;60f58c1bcca541e56f941ba3;60e45f9daf7eec3fac4de4e2
20/07/2021 05:07;20/07/2021 05:08;Indirizzo IP;100;76;VERO;20/07/2021 05:08;R_3PHbB4eIf8tzodc;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;25;Female;No, everything worked fine!;;35;23;12;1;14683;507;496;23999;5c3f53e45149ab0001dc54ce;60f6a6ea596644a33d095fb2;60f57e67967f64a9e6d4f193
