session_id;PROLIFIC_PID;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60acce34ebd2f28d3c07476f;566feba6b937e400052d33b2;APPROVED;2021-05-25 10:18:17.562000;2021-05-25 10:36:51.973000;1.114.411;39;2188;13;100;2021-05-28 10:35:06.178000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60ace87fc33e03c28c0cfd9e;571b3de05d40840013c49f3a;APPROVED;2021-05-25 12:07:40.458000;2021-05-25 12:22:24.292000;883.834;32;1105;8;100;2021-05-28 10:35:14.328000;51867BAD;United Kingdom;United Kingdom;Other;English;English, Chinese;United Kingdom;Female;
60acc80cfd69af96df22b727;57c426fa9fe51d00012391f1;APPROVED;2021-05-25 09:55:29.899000;2021-05-25 10:19:21.978000;1.432.079;56;1008;11;99;2021-05-28 10:35:35.066000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
60acc8daaf3fd1397c509442;587dffdf43773c0001cb0813;APPROVED;2021-05-25 09:52:46.249000;2021-05-25 10:16:59.976000;1.453.727;30;427;2;100;2021-05-28 10:35:43.242000;51867BAD;Poland;Poland;Full-Time;Polish;English, Polish;Poland;Male;No
60acd6a4cc489f371213a34a;58905562670d6600012bda4b;APPROVED;2021-05-25 10:51:26.247000;2021-05-25 11:09:57.125000;1.110.878;47;461;2;100;2021-05-28 10:35:54.835000;51867BAD;Spain;Spain;Full-Time;Spanish;English, Spanish;Spain;Male;No
60ace888d27ce7a875e54115;5927ee603497ad00010171c2;APPROVED;2021-05-25 12:09:05.256000;2021-05-25 12:30:02.326000;1257.07;38;805;13;98;2021-05-28 10:36:06.344000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60acb9e50b8a66c9b3c02961;595bb42745265c000166d399;APPROVED;2021-05-25 08:48:39.618000;2021-05-28 11:08:12.035000;267.572.417;31;649;6;100;2021-05-28 11:08:12.311000;Manual Completion;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;Yes
60acc91123679201e60ead73;5985bb33fd8cca00015cb957;APPROVED;2021-05-25 09:53:21.065000;2021-05-25 10:11:57.360000;1.116.295;22;158;2;100;2021-05-28 10:36:20.402000;51867BAD;Bosnia and Herzegovina;United Kingdom;Other;Croatian;English, Croatian, Arabic;United Kingdom;Female;Yes
60acbc7366f095f6b74a1212;59a0521a6da1d30001c31444;APPROVED;2021-05-25 08:59:31.445000;2021-05-25 09:18:47.761000;1.156.316;24;157;1;100;2021-05-28 10:36:28.762000;51867BAD;Estonia;Estonia;Part-Time;Estonian;English, Estonian;Estonia;Male;Yes
60acd6cc8c92dc374dc877f9;59b636b3180e830001575d2a;APPROVED;2021-05-25 10:53:51.461000;2021-05-25 11:17:14.911000;1403.45;30;501;2;100;2021-05-28 10:36:54.866000;51867BAD;Italy;Italy;Full-Time;Italian;English, Spanish, French, Italian;Italy;Female;No
